journal_id,posting_date,transaction_id,account,amount,currency,status
JNL-2026-000001,2026-09-22,TUP-S-000001,4000-SALES-CASH,31.00,USD,POSTED
JNL-2026-000002,2026-09-22,TUP-S-000002,4000-SALES-CASH,435.00,USD,POSTED
JNL-2026-000003,2026-09-22,TUP-S-000003,4000-SALES-CASH,577.50,USD,POSTED
JNL-2026-000004,2026-09-22,TUP-S-000004,4000-SALES-CASH,33.60,USD,POSTED
JNL-2026-000005,2026-09-22,TUP-S-000005,4000-SALES-CASH,72.80,USD,POSTED
JNL-2026-000006,2026-09-22,TUP-S-000006,4000-SALES-CASH,612.00,USD,POSTED
JNL-2026-000007,2026-09-22,TUP-S-000007,4000-SALES-CASH,22.40,USD,POSTED
JNL-2026-000008,2026-09-22,TUP-S-000008,4000-SALES-CASH,30.80,USD,POSTED
JNL-2026-000009,2026-09-22,TUP-S-000009,4000-SALES-CASH,7.00,USD,POSTED
JNL-2026-000010,2026-09-22,TUP-S-000010,4000-SALES-CASH,308.00,USD,POSTED
JNL-2026-000011,2026-09-22,TUP-S-000011,4000-SALES-CASH,288.00,USD,POSTED
JNL-2026-000012,2026-09-22,TUP-S-000012,4000-SALES-CASH,435.00,USD,POSTED
JNL-2026-000013,2026-09-22,TUP-S-000013,4000-SALES-CASH,5.60,USD,POSTED
JNL-2026-000014,2026-09-22,TUP-S-000014,4000-SALES-CASH,8.40,USD,POSTED
JNL-2026-000015,2026-09-22,TUP-S-000015,4000-SALES-CASH,46.50,USD,POSTED
JNL-2026-000016,2026-09-22,TUP-S-000016,4000-SALES-CASH,3.50,USD,POSTED
JNL-2026-000017,2026-09-22,TUP-S-000017,4000-SALES-CASH,290.00,USD,POSTED
JNL-2026-000018,2026-09-22,TUP-S-000018,4000-SALES-CASH,462.00,USD,POSTED
JNL-2026-000019,2026-09-22,TUP-S-000019,4000-SALES-CASH,216.00,USD,POSTED
JNL-2026-000020,2026-09-22,TUP-S-000020,4000-SALES-CASH,54.60,USD,POSTED
JNL-2026-000021,2026-09-22,TUP-S-000021,4000-SALES-CASH,78.40,USD,POSTED
JNL-2026-000022,2026-09-22,TUP-S-000022,4000-SALES-CASH,52.70,USD,POSTED
JNL-2026-000023,2026-09-22,TUP-S-000023,4000-SALES-CASH,56.00,USD,POSTED
JNL-2026-000024,2026-09-22,TUP-S-000024,4000-SALES-CASH,77.00,USD,POSTED
JNL-2026-000025,2026-09-22,TUP-S-000025,4000-SALES-CASH,5.25,USD,POSTED
JNL-2026-000026,2026-09-22,TUP-S-000026,4000-SALES-CASH,37.80,USD,POSTED
JNL-2026-000027,2026-09-22,TUP-S-000027,4000-SALES-CASH,264.00,USD,POSTED
JNL-2026-000028,2026-09-22,TUP-S-000028,4000-SALES-CASH,7.00,USD,POSTED
JNL-2026-000029,2026-09-22,TUP-S-000029,4000-SALES-CASH,120.00,USD,POSTED
JNL-2026-000030,2026-09-22,TUP-S-000030,4000-SALES-CASH,12.60,USD,POSTED
JNL-2026-000031,2026-09-22,TUP-S-000031,4000-SALES-CASH,589.00,USD,POSTED
JNL-2026-000032,2026-09-22,TUP-S-000032,4000-SALES-CASH,5.60,USD,POSTED
JNL-2026-000033,2026-09-22,TUP-S-000033,4000-SALES-CASH,279.00,USD,POSTED
JNL-2026-000034,2026-09-22,TUP-S-000034,4000-SALES-CASH,77.00,USD,POSTED
JNL-2026-000035,2026-09-22,TUP-S-000035,4000-SALES-CASH,62.00,USD,POSTED
JNL-2026-000036,2026-09-22,TUP-S-000036,4000-SALES-CASH,115.50,USD,POSTED
JNL-2026-000037,2026-09-22,TUP-S-000037,4000-SALES-CASH,37.80,USD,POSTED
JNL-2026-000038,2026-09-22,TUP-S-000038,4000-SALES-CASH,37.80,USD,POSTED
JNL-2026-000039,2026-09-22,TUP-S-000039,4000-SALES-CASH,435.00,USD,POSTED
JNL-2026-000040,2026-09-22,TUP-S-000040,4000-SALES-CASH,576.00,USD,POSTED
JNL-2026-000041,2026-09-22,TUP-S-000041,4000-SALES-CASH,77.00,USD,POSTED
JNL-2026-000042,2026-09-22,TUP-S-000042,4000-SALES-CASH,145.00,USD,POSTED
JNL-2026-000043,2026-09-22,TUP-S-000043,4000-SALES-CASH,308.00,USD,POSTED
JNL-2026-000044,2026-09-22,TUP-S-000044,4000-SALES-CASH,77.00,USD,POSTED
JNL-2026-000045,2026-09-22,TUP-S-000045,4000-SALES-CASH,31.65,USD,POSTED
JNL-2026-000046,2026-09-22,TUP-S-000046,4000-SALES-CASH,86.40,USD,POSTED
JNL-2026-000047,2026-09-22,TUP-S-000047,4000-SALES-CASH,288.00,USD,POSTED
JNL-2026-000048,2026-09-22,TUP-S-000048,4000-SALES-CASH,480.00,USD,POSTED
JNL-2026-000049,2026-09-22,TUP-S-000049,4000-SALES-CASH,290.00,USD,POSTED
JNL-2026-000050,2026-09-22,TUP-S-000050,4000-SALES-CASH,28.00,USD,POSTED
JNL-2026-000051,2026-09-22,TUP-S-000051,4000-SALES-CASH,54.60,USD,POSTED
JNL-2026-000052,2026-09-22,TUP-S-000055,4000-SALES-CASH,19.60,USD,POSTED
JNL-2026-000053,2026-09-22,TUP-S-000056,4000-SALES-CASH,192.50,USD,POSTED
JNL-2026-000054,2026-09-22,TUP-S-000057,4000-SALES-CASH,77.00,USD,POSTED
JNL-2026-000055,2026-09-22,TUP-S-000058,4000-SALES-CASH,77.00,USD,POSTED
JNL-2026-000056,2026-09-22,TUP-S-000059,4000-SALES-CASH,124.00,USD,POSTED
JNL-2026-999001,2026-09-22,TUP-S-000961,4000-SALES-CASH,4500.00,KES,POSTED
